numero_dpe,date_etablissement_dpe,id_rnb,identifiant_ban,adresse_ban,code_postal_ban,nom_commune_ban,code_departement_ban,type_batiment,periode_construction,annee_construction,surface_habitable_logement,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ep
2633E1519647L,2026-06-05,P4AM749E44AG,33126_8933if_01750,1750 Route de Cantemerle 33920 Civrac-de-Blaye,33920,Civrac-de-Blaye,33,maison,avant 1948,1880,83.1,C,B,158.9
2633E1513140E,2026-06-05,,33522_0570_00041,41 Rue Clément Thomas 33400 Talence,33400,Talence,33,appartement,1948-1974,1960,53,D,D,210
2633E1515292Y,2026-06-05,385E5AN7KR43,33063_6005_00088,88 Boulevard Maréchal Leclerc 33000 Bordeaux,33000,Bordeaux,33,appartement,1989-2000,1996,53.2,C,A,138.4
2633E1514166Q,2026-06-05,61NGBH281PPG,33243_0685_00001_bis,1bis Impasse Helene Boucher 33500 Libourne,33500,Libourne,33,appartement,avant 1948,,60.5,C,A,151
2633E1511938Y,2026-06-05,8QAQAZV9979P,33063_7040_00021,21 Rue Paul Louis Lande 33000 Bordeaux,33000,Bordeaux,33,appartement,2013-2021,2013,53.1,C,A,111
2633E1512354Y,2026-06-05,76VPYTZ1GSB4,33318_2780_00010,10 Avenue du Pontet 33600 Pessac,33600,Pessac,33,appartement,1948-1974,1970,14.6,D,D,335
2633E1510736S,2026-06-05,,33529_3nrfct_00007,7 Allee Henri Guillaumet 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,maison,2006-2012,,88,C,C,133
2633E1511080Y,2026-06-05,Z5YZZCBV9G28,33122_2170_00033_bis,33bis Avenue de Verdun 33610 Cestas,33610,Cestas,33,maison,1978-1982,,175.7,A,A,63
2633E1520848Q,2026-06-05,,33541_0010_00010,10 Chemin des Bruyeres 33590 Vensac,33590,Vensac,33,maison,2001-2005,,79.6,D,B,211
2633E1512172Y,2026-06-05,,33522_1260_00011,11 Avenue Georges Clémenceau 33400 Talence,33400,Talence,33,appartement,1989-2000,,25.3,C,B,194
2633E1517272C,2026-06-05,EHTTCT9X4VWN,33154_lz49l6_00729,729 Route des Grands Horruts 33230 Les Églisottes-et-Chalaures,33230,Les Églisottes-et-Chalaures,33,maison,1948-1974,1965,165.5,E,B,280
2633E1514225X,2026-06-05,BSCT97W3NWKJ,33013_0070_00009,9 Avenue du Duc d'Epernon 33370 Artigues-près-Bordeaux,33370,Artigues-près-Bordeaux,33,maison,1978-1982,,108.1,E,B,255
2633E1511632E,2026-06-05,VQ68P56AC8CT,33005_0218_00056_bis,56bis Avenue des Colonies 33510 Andernos-les-Bains,33510,Andernos-les-Bains,33,maison,2006-2012,2006,153.5,C,B,162
2633E1518745T,2026-06-05,FXJMDV5P75SE,33393_0231_00010,10 Route du Pas du Loup 33910 Saint-Denis-de-Pile,33910,Saint-Denis-de-Pile,33,maison,1983-1988,,124,D,B,193
2633E1518324O,2026-06-05,PWDNQJP2BY27,33063_4545_00241,241 Rue du Jardin Public 33300 Bordeaux,33300,Bordeaux,33,maison,1989-2000,,84,C,C,126
2633E1515423Z,2026-06-05,,33063_7618_00001,1 Rue du Prof. Georges Jeanneney 33300 Bordeaux,33300,Bordeaux,33,appartement,2006-2012,,35.2,C,A,135
2633E1515557D,2026-06-05,Q39CQ7ZCDWGM,33318_2330_00002,2 Avenue Montaigne 33600 Pessac,33600,Pessac,33,appartement,avant 1948,1926,25,E,E,307.1
2633E1511402I,2026-06-05,9ZRE6JJ8YKH4,33138_4rxac1_00006,6 Lieu Dit la Bodetterie 33230 Coutras,33230,Coutras,33,maison,1978-1982,,127.8,C,C,120
2633E1511159Z,2026-06-05,JJ26FR4Q5P3Y,33063_1986_00003,3 Allée des Charrettes 33800 Bordeaux,33800,Bordeaux,33,appartement,2013-2021,,48,B,A,93
2633E1514477P,2026-06-05,CEPMCYPRBQ8M,33096_0454_00021,21 Rue Jack London 33560 Carbon-Blanc,33560,Carbon-Blanc,33,maison,1948-1974,,124.9,C,A,136
2633E1513315X,2026-06-05,W7V4KFHSYQCV,33254_zgwcd6_00327,327 Route de la Picharde 33190 Loupiac-de-la-Réole,33190,Loupiac-de-la-Réole,33,maison,avant 1948,,205,B,A,77
2633E1517072K,2026-06-05,FWYX641E63NB,33192_9300_00008,8 Allée des Salamandres 33170 Gradignan,33170,Gradignan,33,maison,2006-2012,2008,171.3,C,A,124
2633E1518352Q,2026-06-05,,33063_8920_00220,220 Avenue Thiers 33100 Bordeaux,33100,Bordeaux,33,appartement,avant 1948,,62,C,A,131
